Metro Area,Total Asian Any Combination,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,"Chinese, except Taiwanese",Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Pakistani,Sri Lankan,Taiwanese,Thai,Vietnamese,"Other Asian, specified","Other Asian, not specified"
"Lake Havasu City-Kingman, AZ Metro Area",3588,347,0,0,56,8,598,1419,0,72,377,215,40,0,0,37,0,97,23,24,77,186,0,12
"Lakeland-Winter Haven, FL Metro Area",14462,3016,0,0,88,91,2176,3331,545,38,685,525,495,18,11,33,0,199,6,55,876,1543,0,731
"Lancaster, PA Metro Area",14499,2228,17,272,317,986,2614,1328,354,50,360,1006,222,15,0,502,0,334,0,0,101,3336,0,457
"Lansing-East Lansing, MI Metro Area",25589,5964,39,582,277,79,7212,965,835,219,1093,3042,186,170,0,363,30,727,313,243,379,1484,65,1322
"Laredo, TX Metro Area",1669,376,0,0,0,0,154,510,0,0,93,131,0,0,0,0,0,0,0,0,59,340,0,6
"Las Cruces, NM Metro Area",3264,423,0,0,0,5,624,1033,0,0,196,374,24,38,0,47,0,17,0,51,132,128,0,172
"Las Vegas-Henderson-Paradise, NV Metro Area",264829,11472,112,260,827,1571,40984,136776,161,1231,20239,18168,3020,390,232,438,171,1211,670,965,8018,13275,133,4505
"Lawrence, KS Metro Area",7084,1391,0,0,0,51,2107,413,108,21,515,525,273,3,2,53,0,139,30,50,266,734,30,373
"Lawton, OK Metro Area",5652,322,20,0,9,87,346,1175,102,0,893,1979,29,0,0,48,0,21,0,0,145,399,0,77
"Lebanon, PA Metro Area",2357,388,0,0,0,258,356,476,7,0,36,123,0,0,0,0,0,0,0,0,24,628,0,61
"Lewiston, ID-WA Metro Area",911,92,0,0,0,0,220,279,0,0,49,165,0,0,0,21,0,0,0,5,26,54,0,0
"Lewiston-Auburn, ME Metro Area",1643,115,46,0,0,15,503,427,0,9,109,99,0,0,0,0,0,14,0,0,19,266,0,21
"Lexington-Fayette, KY Metro Area",16789,3181,87,294,19,296,3517,1929,0,206,2071,1476,34,12,40,810,0,104,27,201,323,1113,0,1049
"Lima, OH Metro Area",1195,202,0,0,0,0,169,142,0,0,157,179,0,0,0,42,0,0,0,0,55,200,0,49
"Lincoln, NE Metro Area",15657,1518,0,0,887,9,2796,781,66,58,639,1286,79,125,0,100,34,82,189,55,369,5601,0,983
"Little Rock-North Little Rock-Conway, AR Metro Area",15885,2981,35,0,90,35,3266,2615,141,112,879,1456,345,16,42,28,3,953,66,59,356,1263,17,1127
"Logan, UT-ID Metro Area",3791,302,19,0,365,180,989,534,0,7,656,202,204,0,0,78,57,0,0,29,51,48,0,70
"Longview, TX Metro Area",2583,405,9,0,0,271,327,365,0,27,100,208,0,7,0,205,0,101,0,0,53,413,0,92
"Longview, WA Metro Area",2628,75,0,0,0,310,216,474,0,45,571,169,0,0,0,21,0,92,0,0,150,489,0,16
"Los Angeles-Long Beach-Anaheim, CA Metro Area",2395339,160393,5891,132,6714,51575,605785,508996,3129,19932,195418,338094,8011,2463,3089,2922,341,19405,7795,38841,36203,335167,443,44600
"Louisville/Jefferson County, KY-IN Metro Area",31148,7447,9,263,812,352,3508,3537,58,331,1697,3229,1036,43,11,1651,14,814,150,101,800,3867,0,1418
"Lubbock, TX Metro Area",8351,1973,0,0,0,0,1537,1291,0,35,662,895,52,50,0,98,0,93,148,133,424,656,0,304
"Lynchburg, VA Metro Area",5168,1010,10,0,30,0,1077,667,0,0,315,1022,0,10,24,56,0,37,23,78,62,602,0,145
"Macon-Bibb County, GA Metro Area",4412,1485,29,0,21,0,432,384,0,0,74,774,83,0,0,80,0,35,7,46,222,667,0,73
"Madera, CA Metro Area",4411,1037,0,0,0,351,469,1217,196,67,367,214,201,0,27,0,0,63,0,0,42,94,0,66
"Madison, WI Metro Area",36009,7203,232,63,195,336,9570,2235,6129,205,1478,3042,721,101,57,699,37,366,45,521,317,1355,46,1056
"Manchester-Nashua, NH Metro Area",18793,6454,73,432,0,741,3030,1444,13,83,744,1178,83,21,0,1134,0,662,46,223,255,1679,0,498
"Manhattan, KS Metro Area",4857,487,147,0,11,36,1733,302,6,0,392,640,9,71,0,36,0,137,92,83,108,478,0,89
"Mankato-North Mankato, MN Metro Area",2687,239,126,0,5,215,283,341,224,0,108,489,39,0,6,126,0,145,0,0,21,193,0,127
"Mansfield, OH Metro Area",1182,554,0,0,0,13,130,138,0,0,55,147,0,8,0,0,0,20,0,23,49,17,0,28
"McAllen-Edinburg-Mission, TX Metro Area",9709,1680,0,0,91,0,670,4028,0,16,709,940,48,0,0,0,0,37,0,84,181,701,0,524
"Medford, OR Metro Area",4728,368,0,0,48,9,1034,1231,60,47,714,563,0,0,0,0,0,0,31,19,68,382,0,154
"Memphis, TN-MS-AR Metro Area",32900,6967,104,0,9,459,6036,4821,109,78,1918,2799,760,81,77,101,37,1177,147,73,239,4853,0,2055
"Merced, CA Metro Area",24315,4905,0,0,0,292,1789,4360,6674,140,1432,544,2928,0,0,0,0,174,0,22,454,456,0,145
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",186678,55580,2604,0,296,1125,45319,25230,28,851,7074,7006,700,86,48,273,45,8054,534,1166,5296,16091,16,9256
"Michigan City-La Porte, IN Metro Area",961,125,0,0,46,56,100,218,0,0,148,98,0,0,0,0,0,15,0,0,110,11,0,34
"Midland, MI Metro Area",2233,910,0,0,0,0,437,269,0,53,124,285,0,12,21,74,7,0,0,17,10,2,0,12
"Midland, TX Metro Area",4005,564,0,0,806,8,799,535,0,168,94,424,0,12,0,0,0,119,35,0,11,268,0,162
"Milwaukee-Waukesha-West Allis, WI Metro Area",65399,15774,70,0,2463,124,9552,4752,15883,237,2269,3655,1946,280,69,233,0,1976,166,159,911,2840,42,1998
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",267994,43148,505,485,11330,8392,30558,15562,75198,1164,7603,19773,9620,489,72,1831,27,2634,577,1194,3055,27967,32,6778
"Missoula, MT Metro Area",2692,62,0,0,0,0,335,590,0,9,871,521,0,19,3,25,0,0,5,0,94,129,0,29
"Mobile, AL Metro Area",9624,1223,58,0,47,411,1133,1218,0,28,566,406,1101,0,0,7,0,175,9,36,359,2663,0,184
"Modesto, CA Metro Area",38296,9143,64,0,199,5147,3411,10027,947,79,1652,1251,2004,0,0,0,0,418,0,166,135,2255,0,1398
"Monroe, LA Metro Area",1810,477,0,0,0,0,219,334,0,0,70,16,0,0,105,40,0,0,0,44,0,375,0,130
"Monroe, MI Metro Area",1340,180,4,0,0,0,134,391,0,0,74,394,0,0,0,0,0,16,0,28,57,7,0,55
"Montgomery, AL Metro Area",8901,1649,246,0,0,0,974,1025,0,0,500,2872,413,0,0,0,0,0,0,3,160,453,0,606
"Morgantown, WV Metro Area",4152,1375,80,0,0,0,1169,294,0,0,228,338,19,0,0,0,0,33,20,39,56,131,42,328
