District,State,Asian Alone Total,Asian Alone Less than HS,Asian Alone HS or GED,Asian Alone Some College or AA,Asian Alone BA or higher,Asian Alone Share Less than HS,Asian Alone Share HS or GED,Asian Alone Share Some College or AA,Asian Alone Share BA or higher,NHPI Alone Total,NHPI Alone Less than HS,NHPI Alone HS or GED,NHPI Alone Some College or AA,NHPI Alone BA or higher,NHPI Alone Share Less than HS,NHPI Alone Share HS or GED,NHPI Alone Share Some College or AA,NHPI Alone Share BA or higher
District 9,New Jersey,74605,5106,11347,10108,48044,6.84,15.21,13.55,64.4,,,,,,,,,
District 9,New York,36902,10377,6766,4731,15028,28.12,18.34,12.82,40.72,,,,,,,,,
District 9,North Carolina,13218,1437,1553,2113,8115,10.87,11.75,15.99,61.39,,,,,,,,,
District 9,Ohio,6813,,1376,,2691,,20.2,,39.5,,,,,,,,,
District 9,Pennsylvania,2696,,,,,,,,,,,,,,,,,
District 9,Tennessee,8549,,,,4370,,,,51.12,,,,,,,,,
District 9,Texas,66012,13435,12972,11569,28036,20.35,19.65,17.53,42.47,,,,,,,,,
District 9,Virginia,5102,,,,3454,,,,67.7,,,,,,,,,
District 9,Washington,122303,19656,20481,23704,58462,16.07,16.75,19.38,47.8,5146,,2218,1775,,,43.1,34.49,
Resident Commissioner District (at Large),Puerto Rico,5522,,,,,,,,,,,,,,,,,
