District,State,Total Population,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,Chinese except Taiwanese,Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Other Asian not specified,Other Asian specified,Pakistani,Sri Lankan,Taiwanese,Thai,Vietnamese
District 3,Arizona,,,,,,,2439,3827,,,,,,,,,,,,,,,,1806
District 3,Arkansas,,6193,,,,,2290,2058,,,,,3821,,,,,,,,,,,3466
District 3,California,,18519,,,,,13195,24456,3658,,3432,3446,,,,,,,,,,,,5034
District 3,Colorado,,,,,,,1250,1144,,,,,,,,,,,,,,,,
District 3,Connecticut,,9769,,,,,8177,3073,,,,2368,,,,,,,,,,,,
District 3,Florida,,5585,,,,,5202,5089,,,,,,,,,,,,,,,,
District 3,Georgia,,4386,,,,,,1268,,,,2621,,,,,,,,,,,,
District 3,Illinois,,4447,,,,,16132,4962,,,,,,,,,,,,,,,,
District 3,Indiana,,3085,,,3377,,1234,1016,,,,,,,,,,,,,,,,
District 3,Iowa,,5463,,,,,2185,,,,,1430,,,,,,,,,,,,4774
District 3,Kansas,,11360,,,,,4719,,,,,2318,1572,,,,,,,,,,,2495
District 3,Kentucky,,5641,,,,,2206,1601,,,,,,,,,,,,,,,,2980
District 3,Louisiana,,,,,,,,,,,,,1564,,,,,,,,,,,4203
District 3,Maryland,,13099,,,,,9936,7040,,,,8602,,,,,,,,3234,,,,4902
District 3,Massachusetts,,15091,,,,16367,12037,,,,,2056,,,,,,,,,,,,4658
District 3,Michigan,,,,,1901,,2722,1161,,,,1523,,,,,,,,,,,,
District 3,Minnesota,,15380,,,,,6342,1802,7988,,,2789,,,,,,,,,,,,8091
District 3,Mississippi,,2873,,,,,,,,,,,,,,,,,,,,,,
District 3,Missouri,,2003,,,,,,1403,,,,,,,,,,,,,,,,
District 3,Nebraska,,,,,,,,,,,,,,,,,,,,,,,,
District 3,Nevada,,6470,,,,,17879,51746,,,4839,7665,,,,,,,,,,,2820,5451
District 3,New Jersey,,11077,,,,,4012,5549,,,,2588,,,,,,,,,,,,
District 3,New Mexico,,1520,,,,,1502,2249,,,767,,,,,,,,,,,,,
District 3,New York,,39561,,,,,35260,4724,,,,19750,,,,,,,,4223,,,,
District 3,North Carolina,,,,,1731,,,2665,,,,,,,,,,,,,,,,
District 3,Ohio,,7523,,,,,5788,,,,,,,,,,,,,,,,,
District 3,Oklahoma,,2503,,,,,2333,,,,,,,,,,,,,,,,,2337
District 3,Oregon,,2370,,,,,12972,4868,,,3720,2703,,,,,,,,,,,,16567
District 3,Pennsylvania,,1780,,,,,1462,559,,,,666,,,,,,,,,,,,
District 3,South Carolina,,,,,,,1683,,,,,,,,,,,,,,,,,
District 3,Tennessee,,3028,,,,,1518,,,,,,,,,,,,,,,,,
District 3,Texas,,53572,,,,,23930,6784,,,,7150,,,,,,,,6916,,,,10288
District 3,Utah,,2329,,,,,4078,,,,1832,1896,,,,,,,,,,,,
District 3,Virginia,,1851,,,,,1882,6396,,,,2249,,,,,,,,,,,,2960
District 3,Washington,,2413,,,,,4356,3944,,,2545,2781,823,,,,,,,,,,,3581
District 3,West Virginia,,,,,,,,,,,,,,,,,,,,,,,,
District 3,Wisconsin,,,,,,,1882,,9034,,,951,,,,,,,,,,,,
District 30,California,,15140,,,,,11913,29301,,,5473,13135,,,,,,,,,,,2592,8385
District 30,Texas,,,,,,,,2181,,,,,,,,,,,,,,,,5067
District 31,California,,6434,,,,,11298,15841,,3352,,4605,,,,,,,,,,,,4391
District 31,Texas,,14824,,,,,5801,4059,,,,4751,,,,,,,,,,,,4242
District 32,California,,2430,,,,,58529,31754,,,2844,3154,,,,,,,,,,2242,1602,17207
District 32,Texas,,13243,,,,,8558,5022,,,,2754,,,,,,,,,,,,21009
District 33,California,,12486,,,,,26251,11330,,,15186,22012,,,,,,,,,,3043,,3931
District 33,Texas,,2699,,,,,,,,,,,,,,,,,,,,,,6327
District 34,California,,3162,,,,,25536,33959,,,5369,59101,,,,,,,,,,,2062,4068
District 34,Texas,,,,,,,,,,,,,,,,,,,,,,,,
District 35,California,,3142,,,,,12612,16046,,,1558,3131,,,,,,,,,,,,6222
District 35,Texas,,,,,,,,2264,,,,,,,,,,,,,,,,
District 36,California,,,,,,,2960,10900,,,1428,,,,,,,,,,,,,
District 36,Texas,,4554,,,,,1777,,,,,,,,,,,,,,,,,2751
District 37,California,,8969,,,,,19009,8889,,,10115,15150,,,,,,,,,,1511,,2722
District 38,California,,9725,,,,2854,19387,34349,,,6070,21220,,,,,,,,,,1509,2058,7978
District 39,California,,15082,,,,,81756,35080,,,7920,47654,,,,,,,,,,7276,1725,11449
District 4,Alabama,,,,,,,,,,,,,,,,,,,,,,,,
District 4,Arizona,,,,,,,,2791,,,,,,,,,,,,,,,,
District 4,Arkansas,,,,,,,,,,,,,,,,,,,,,,,,
District 4,California,,8374,,,,,5763,10596,,,2416,2242,,,,,,,,,,,,2148
District 4,Colorado,,3935,,,,,2950,1229,,,,,,,,,,,,,,,,
District 4,Connecticut,,15205,,,,,9220,3521,,,1864,2503,,,,,,,,,,,,
District 4,Florida,,10137,,,,,3733,9532,,,1028,,,,,,,,,,,,,
District 4,Georgia,,10682,,,3922,,2313,,,,,,,,,,,,,,,,,8783
District 4,Illinois,,2857,,,,,7131,9580,,,,1574,,,,,,,,,,,,
District 4,Indiana,,5061,,,,,8895,1611,,,,1946,,,,,,,,,,,,
District 4,Iowa,,1853,,,,,4349,1007,,,,,,,,,,,,,,,,2160
District 4,Kansas,,2718,,,,,1821,,,,,,1965,,,,,,,,,,,9886
District 4,Kentucky,,2571,,,,,,,,,,,,,,,,,,,,,,
District 4,Louisiana,,,,,,,,1745,,,,1122,,,,,,,,,,,,
District 4,Maryland,,4673,,,,,2800,6516,,,,2154,,,,,,,,,,,,
District 4,Massachusetts,,12049,,,,,18842,,,,2296,3994,,,,,,,,,,,,
District 4,Michigan,,1750,,,,,1670,,,,,821,,,,,,,,,,,,
District 4,Minnesota,,7130,,,10402,,6902,1833,42906,,,3038,,,,,,,,,,,,5226
District 4,Mississippi,,,,,,,,,,,,,,,,,,,,,,,,4980
District 4,Missouri,,2453,,,,,2969,1566,,,,1477,,,,,,,,,,,,
District 4,Nevada,,,,,,,2536,26647,,,2289,2398,,,,,,,,,,,1298,
District 4,New Jersey,,11139,,,,,7978,5006,,,,3015,,,,,,,,,,,,
District 4,New York,,20546,,,,,10216,5739,,,,2720,,,,,,,,,,,,
District 4,North Carolina,,31021,,,,,14637,2649,,,1509,5049,,,,,,,,,,,,4977
District 4,Ohio,,1586,,,,,1439,,,,,,,,,,,,,,,,,
District 4,Oklahoma,,2322,,,,,3078,2100,,,,2522,,,,,,,,,,,,4861
District 4,Oregon,,1863,,,,,6192,1777,,,2132,2785,,,,,,,,,,,,
District 4,Pennsylvania,,5379,,,,,2669,1376,,,,1722,,,,,,,,,,,,2608
District 4,South Carolina,,3936,,,,,2722,,,,,,,,,,,,,,,,,
District 4,Tennessee,,,,,,,,,,,,,3366,,,,,,,,,,,
District 4,Texas,,,,,,,,1496,,,,,,,,,,,,,,,,
District 4,Utah,,4304,,,,,4342,1899,,,1639,,,,,,,,,,,,,4295
District 4,Virginia,,3424,,,,,2239,3514,,,,1572,,,,,,,,,,,,
District 4,Washington,,,,,,,1687,2149,,,1177,,,,,,,,,,,,,
District 4,Wisconsin,,2745,,,,,2565,1045,12762,,,,,,,,,,,,,,,
District 40,California,,,,,,,1548,6576,,,,2999,,,,,,,,,,,,
District 41,California,,4670,,,,,6454,12498,,,,3334,,,,,,,,,,,,5859
District 42,California,,7538,,,,,11960,24254,,,1993,6535,,,,,,,,,,,,8232
District 43,California,,6863,,,,,10453,18825,,,22993,14934,,,,,,,,,,,,9116
District 44,California,,,,,,4920,1659,27567,,,1552,1858,,,,,,,,,,,,1871
District 45,California,,26307,,,,,47049,24415,,,13352,29854,,,,,,,,,,6800,,18953
District 46,California,,4343,,,,3340,7397,17342,,,2764,8191,,,,,,,,,,,,44840
District 47,California,,6174,,,,16038,10543,31237,,,5528,16108,,,,,,,,,,,,63558
District 48,California,,6860,,,,,15273,10139,,,9487,7004,,,,,,,,,,,,72581
District 49,California,,8660,,,,,9278,13088,,,4477,4440,,,,,,,,,,,,5274
District 5,Alabama,,2635,,,,,1864,,,,,2138,,,,,,,,,,,,
District 5,Arizona,,9549,,,,,6657,6282,,,1575,3053,,,,,,,,,,,,5361
District 5,California,,6171,,,,,9590,45735,,,2646,2123,2907,,,,,,,,,,,4756
District 5,Colorado,,,,,,,2712,4881,,,1291,4489,,,,,,,,,,,,
District 5,Connecticut,,9906,,,,,5992,,,,,1775,,,,,,,,,,,,
District 5,Florida,,1776,,,,,2460,6557,,,,,,,,,,,,,,,,3110
District 5,Georgia,,8315,,,,,5364,,,,,3766,,,,,,,,,,,,8743
District 5,Illinois,,12617,,,,,5798,15809,,,1587,4521,,,,,,,,,,,,4132
District 5,Indiana,,10512,,,,,5953,1905,,,,2283,,,,,,,,,,,,
District 5,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,
District 5,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,
