District,State,Total Population,Fijian,Guamanian or Chamorro,Marshallese,Native Hawaiian,Other Melanesian,Other Micronesian,Other Pacific Islander not specified (check box only),Other Polynesian,Samoan,Tongan,Two or More NHPI
District 5,Kentucky,706248,,,,,,,,,,,
District 5,Louisiana,749991,,,,,,,,,,,
District 5,Maryland,759228,,,,,,,,,,,
District 5,Massachusetts,760616,,,,,,,,,,,
District 5,Michigan,682884,,,,,,,,,,,
District 5,Minnesota,702022,,,,,,,,,,,
District 5,Missouri,761929,,,,,,,,,,,
District 5,New Jersey,745615,,,,,,,,,,,
District 5,New York,784341,,,,,,,,,,,
District 5,North Carolina,749093,,,,,,,,,,,
District 5,Ohio,722212,,,,,,,,,,,
District 5,Oklahoma,803924,,,,,,,,,,,
District 5,Oregon,806326,,,,,,,,,,,
District 5,Pennsylvania,702582,,,,,,,,,,,
District 5,South Carolina,695549,,,,,,,,,,,
District 5,Tennessee,758995,,,,,,,,,,,
District 5,Texas,740618,,,,,,,,,,,
District 5,Virginia,733693,,,,,,,,,,,
District 5,Washington,696562,,,,,,,,,,,
District 5,Wisconsin,720844,,,,,,,,,,,
District 50,California,744267,,,,,,,,,,,
District 51,California,730908,,,,,,,,,,,
District 52,California,754053,,,,,,,,,,,
District 53,California,761273,,2179,,,,,,,,,
District 6,Alabama,698968,,,,,,,,,,,
District 6,Arizona,762220,,,,,,,,,,,
District 6,California,743423,6241,,,,,,,,,,
District 6,Colorado,792196,,,,,,,,,,,
District 6,Florida,740950,,,,,,,,,,,
District 6,Georgia,742017,,,,,,,,,,,
District 6,Illinois,725875,,,,,,,,,,,
District 6,Indiana,718307,,,,,,,,,,,
District 6,Kentucky,757699,,,,,,,,,,,
District 6,Louisiana,785266,,,,,,,,,,,
District 6,Maryland,762155,,,,,,,,,,,
District 6,Massachusetts,762560,,,,,,,,,,,
District 6,Michigan,713718,,,,,,,,,,,
District 6,Minnesota,694849,,,,,,,,,,,
District 6,Missouri,763913,,,,,,,,,,,
District 6,New Jersey,745204,,,,,,,,,,,
District 6,New York,742207,,,,,,,,,,,
District 6,North Carolina,757229,,,,,,,,,,,
District 6,Ohio,703764,,,,,,,,,,,
