District,State,Total Population,Asian Alone,Share Asian Alone,Asian Combo,Share Asian Combo,NHPI Alone,Share NHPI Alone,NHPI Combo,Share NHPI Combo
District 1,Ohio,733390,24679,3.37,28421,3.88,,,894,0.12
District 10,Ohio,720851,15890,2.2,21347,2.96,,,,
District 11,Ohio,697927,17410,2.49,21525,3.08,,,,
District 12,Ohio,761758,30311,3.98,36419,4.78,,,,
District 13,Ohio,710834,11984,1.69,14833,2.09,,,,
District 14,Ohio,718257,14895,2.07,18446,2.57,,,,
District 15,Ohio,749429,17636,2.35,21445,2.86,,,,
District 16,Ohio,722933,15657,2.17,19400,2.68,,,,
District 2,Ohio,726067,9972,1.37,13022,1.79,,,,
District 3,Ohio,770797,30593,3.97,35907,4.66,,,1382,0.18
District 4,Ohio,711332,6081,0.85,8655,1.22,,,,
District 5,Ohio,722212,9523,1.32,12467,1.73,,,,
District 6,Ohio,703764,3061,0.43,4720,0.67,,,,
District 7,Ohio,724257,4671,0.64,7351,1.01,,,,
District 8,Ohio,725385,13413,1.85,16964,2.34,,,847,0.12
District 9,Ohio,710563,10102,1.42,14811,2.08,,,,
District 1,Oklahoma,789968,21731,2.75,26566,3.36,623,0.08,1542,0.2
District 2,Oklahoma,748004,4397,0.59,6697,0.9,1189,0.16,1931,0.26
District 3,Oklahoma,773867,11263,1.46,14779,1.91,2071,0.27,2538,0.33
District 4,Oklahoma,780488,18400,2.36,25827,3.31,923,0.12,2296,0.29
District 5,Oklahoma,803924,24879,3.09,31664,3.94,,,1665,0.21
District 1,Oregon,817756,61492,7.52,79300,9.7,2857,0.35,7414,0.91
District 2,Oregon,794957,8178,1.03,14941,1.88,1826,0.23,4431,0.56
District 3,Oregon,820929,55687,6.78,71907,8.76,4870,0.59,8681,1.06
District 4,Oregon,785159,18450,2.35,28165,3.59,1468,0.19,4557,0.58
District 5,Oregon,806326,22544,2.8,33069,4.1,4136,0.51,7114,0.88
District 1,Pennsylvania,723042,52107,7.21,56839,7.86,,,,
District 10,Pennsylvania,699026,6607,0.95,8873,1.27,,,,
District 11,Pennsylvania,707296,11830,1.67,14870,2.1,,,,
District 12,Pennsylvania,699504,13071,1.87,16055,2.3,,,,
District 13,Pennsylvania,727631,66798,9.18,71996,9.89,,,1354,0.19
District 14,Pennsylvania,701608,22566,3.22,26378,3.76,,,,
District 15,Pennsylvania,722676,19721,2.73,23688,3.28,,,,
District 16,Pennsylvania,725929,13591,1.87,16926,2.33,,,,
District 17,Pennsylvania,696919,13292,1.91,16360,2.35,,,,
District 18,Pennsylvania,704815,14388,2.04,17850,2.53,,,,
District 2,Pennsylvania,716385,36846,5.14,42408,5.92,,,,
District 3,Pennsylvania,695002,7139,1.03,9864,1.42,,,,
District 4,Pennsylvania,720275,17674,2.45,20906,2.9,,,661,0.09
District 5,Pennsylvania,702582,12908,1.84,15582,2.22,,,,
District 6,Pennsylvania,726341,34442,4.74,39022,5.37,,,578,0.08
District 7,Pennsylvania,718119,35163,4.9,40368,5.62,,,,
District 8,Pennsylvania,709322,35064,4.94,39960,5.63,,,,
District 9,Pennsylvania,694033,4318,0.62,6218,0.9,431,0.06,812,0.12
Resident Commissioner District (at Large),Puerto Rico,3468963,7789,0.22,9835,0.28,,,,
District 1,Rhode Island,532360,19033,3.58,23069,4.33,,,,
District 2,Rhode Island,523778,16523,3.15,19870,3.79,,,,
District 1,South Carolina,748066,13505,1.81,19355,2.59,,,896,0.12
District 2,South Carolina,697001,13249,1.9,16296,2.34,647,0.09,1089,0.16
District 3,South Carolina,677940,5934,0.88,8149,1.2,,,,
District 4,South Carolina,708271,17198,2.43,20343,2.87,411,0.06,855,0.12
District 5,South Carolina,695549,7903,1.14,10577,1.52,,,,
District 6,South Carolina,667841,7580,1.14,10138,1.52,,,,
District 7,South Carolina,698776,6625,0.95,8827,1.26,437,0.06,718,0.1
District (at Large),South Dakota,855444,11693,1.37,15198,1.78,,,1275,0.15
District 1,Tennessee,712059,5152,0.72,7287,1.02,,,,
District 2,Tennessee,732230,11515,1.57,14617,2,,,1110,0.15
District 3,Tennessee,723001,9311,1.29,11312,1.56,,,,
District 4,Tennessee,756359,12566,1.66,16256,2.15,,,,
District 5,Tennessee,758995,24291,3.2,29292,3.86,,,1790,0.24
District 6,Tennessee,746798,6933,0.93,9201,1.23,,,,
District 7,Tennessee,752931,14615,1.94,19012,2.53,944,0.13,1904,0.25
District 8,Tennessee,709012,14357,2.02,16950,2.39,,,,
District 9,Tennessee,705996,11865,1.68,14316,2.03,,,,
District 1,Texas,713841,8378,1.17,9838,1.38,,,,
District 10,Texas,813505,45530,5.6,52856,6.5,,,,
District 11,Texas,753479,8085,1.07,10286,1.37,,,,
District 12,Texas,773234,26511,3.43,33184,4.29,,,,
District 13,Texas,708616,14403,2.03,18125,2.56,,,,
District 14,Texas,737708,22514,3.05,26049,3.53,,,,
District 15,Texas,764749,8151,1.07,9736,1.27,,,,
District 16,Texas,734516,9471,1.29,14907,2.03,,,2373,0.32
District 17,Texas,750555,35840,4.78,40735,5.43,,,,
District 18,Texas,766074,28544,3.73,32135,4.19,,,,
District 19,Texas,721822,10156,1.41,13743,1.9,,,,
District 2,Texas,767312,59074,7.7,66375,8.65,,,2176,0.28
District 20,Texas,776926,24590,3.17,31216,4.02,,,2482,0.32
District 21,Texas,777686,26948,3.47,33753,4.34,,,,
District 22,Texas,844913,151634,17.95,162532,19.24,,,,
District 23,Texas,752067,10173,1.35,14106,1.88,,,1489,0.2
District 24,Texas,774968,102702,13.25,111387,14.37,2319,0.3,3410,0.44
District 25,Texas,755821,22400,2.96,29608,3.92,2506,0.33,4299,0.57
District 26,Texas,823749,50217,6.1,61944,7.52,,,,
District 27,Texas,732212,11568,1.58,14419,1.97,,,995,0.14
District 28,Texas,742188,7821,1.05,10260,1.38,,,,
District 29,Texas,740295,11817,1.6,13173,1.78,,,,
District 3,Texas,816143,119808,14.68,130912,16.04,606,0.07,1701,0.21
District 30,Texas,760204,14848,1.95,17338,2.28,,,,
District 31,Texas,806513,38760,4.81,50122,6.21,2317,0.29,4188,0.52
District 32,Texas,752654,62962,8.37,70252,9.33,,,,
District 33,Texas,727777,16128,2.22,18428,2.53,,,,
District 34,Texas,720989,4440,0.62,5519,0.77,,,,
District 35,Texas,795361,12e3,1.51,17491,2.2,,,,
District 36,Texas,726915,14936,2.05,17925,2.47,,,,
District 4,Texas,728435,7842,1.08,10965,1.51,,,,
District 5,Texas,740618,15285,2.06,17910,2.42,,,,
District 6,Texas,759949,36019,4.74,41685,5.49,1195,0.16,2422,0.32
District 7,Texas,770276,83013,10.78,92837,12.05,,,,
District 8,Texas,807525,22998,2.85,27938,3.46,543,0.07,,
District 9,Texas,780017,91286,11.7,96156,12.33,,,,
District 1,Utah,740424,10905,1.47,18097,2.44,2628,0.35,5179,0.7
District 2,Utah,739470,18388,2.49,26027,3.52,8854,1.2,12720,1.72
District 3,Utah,740511,13811,1.87,21575,2.91,4764,0.64,9962,1.35
District 4,Utah,773536,24441,3.16,31831,4.11,10496,1.36,15374,1.99
District (at Large),Vermont,624636,9680,1.55,12798,2.05,,,,
District 1,Virginia,776151,24365,3.14,34166,4.4,,,,
District 10,Virginia,813785,114364,14.05,133593,16.42,621,0.08,2285,0.28
District 11,Virginia,787515,142728,18.12,163979,20.82,,,2038,0.26
District 2,Virginia,738962,40219,5.44,52914,7.16,819,0.11,2810,0.38
District 3,Virginia,738417,19048,2.58,27178,3.68,644,0.09,1831,0.25
District 4,Virginia,760613,14243,1.87,21240,2.79,,,1225,0.16
District 5,Virginia,733693,12871,1.75,16527,2.25,,,,
