County,State,Group Population,No Health INS,Share No Health INS
Manistee County,Michigan,113,,
Manitowoc County,Wisconsin,2096,,
Marathon County,Wisconsin,7676,,
Marengo County,Alabama,,,
Maricao Municipio,Puerto Rico,,,
Maricopa County,Arizona,163667,,
Maries County,Missouri,,,
Marin County,California,14759,,
Marinette County,Wisconsin,,,
Marion County,Alabama,,,
Marion County,Arkansas,,,
Marion County,Florida,5077,,
Marion County,Georgia,,,
Marion County,Illinois,270,,
Marion County,Indiana,27120,,
Marion County,Iowa,378,,
Marion County,Kansas,,,
Marion County,Kentucky,,,
Marion County,Mississippi,,,
Marion County,Missouri,208,,
Marion County,Ohio,344,,
Marion County,Oregon,6459,,
Marion County,South Carolina,206,,
Marion County,Tennessee,,,
Marion County,Texas,,,
Marion County,West Virginia,377,,
Mariposa County,California,,,
Marlboro County,South Carolina,,,
Marquette County,Michigan,576,,
Marquette County,Wisconsin,,,
Marshall County,Alabama,534,,
Marshall County,Illinois,,,
Marshall County,Indiana,,,
Marshall County,Iowa,1326,,
Marshall County,Kansas,,,
Marshall County,Kentucky,128,,
Marshall County,Minnesota,,,
Marshall County,Mississippi,,,
Marshall County,Oklahoma,,,
Marshall County,South Dakota,,,
Marshall County,Tennessee,,,
Marshall County,West Virginia,,,
Martin County,Florida,1996,,
Martin County,Indiana,,,
Martin County,Kentucky,,,
Martin County,Minnesota,,,
Martin County,North Carolina,,,
Martin County,Texas,,,
Martinsville city,Virginia,,,
Mason County,Illinois,,,
Mason County,Kentucky,116,,
Mason County,Michigan,,,
Mason County,Texas,,,
Mason County,Washington,902,,
Mason County,West Virginia,,,
Massac County,Illinois,,,
Matagorda County,Texas,726,,
Matanuska-Susitna Borough,Alaska,1313,,
Mathews County,Virginia,,,
Maui County,Hawaii,47337,,
Maunabo Municipio,Puerto Rico,,,
Maury County,Tennessee,814,,
Maverick County,Texas,,,
Mayagüez Municipio,Puerto Rico,,,
Mayes County,Oklahoma,175,,
McClain County,Oklahoma,,,
McCone County,Montana,,,
McCook County,South Dakota,,,
McCormick County,South Carolina,,,
McCracken County,Kentucky,,,
McCreary County,Kentucky,,,
McCulloch County,Texas,,,
McCurtain County,Oklahoma,193,,
McDonald County,Missouri,301,,
McDonough County,Illinois,689,,
McDowell County,North Carolina,,,
McDowell County,West Virginia,,,
McDuffie County,Georgia,,,
McHenry County,Illinois,8282,,
McHenry County,North Dakota,,,
McIntosh County,Georgia,,,
McIntosh County,North Dakota,,,
McIntosh County,Oklahoma,,,
McKean County,Pennsylvania,,,
McKenzie County,North Dakota,,,
McKinley County,New Mexico,713,,
McLean County,Illinois,8770,,
McLean County,Kentucky,,,
McLean County,North Dakota,,,
McLennan County,Texas,3812,,
McLeod County,Minnesota,214,,
McMinn County,Tennessee,,,
McMullen County,Texas,,,
McNairy County,Tennessee,,,
McPherson County,Kansas,,,
McPherson County,Nebraska,,,
McPherson County,South Dakota,,,
Meade County,Kansas,,,
Meade County,Kentucky,,,
Meade County,South Dakota,318,,
Meagher County,Montana,,,
Mecklenburg County,North Carolina,56962,,
Mecklenburg County,Virginia,,,
Mecosta County,Michigan,,,
Medina County,Ohio,2124,,
Medina County,Texas,,,
Meeker County,Minnesota,75,,
Meigs County,Ohio,,,
Meigs County,Tennessee,,,
Mellette County,South Dakota,,,
Menard County,Illinois,,,
Menard County,Texas,,,
Mendocino County,California,1505,,
Menifee County,Kentucky,,,
Menominee County,Michigan,97,,
Menominee County,Wisconsin,,,
Merced County,California,20163,,
Mercer County,Illinois,,,
Mercer County,Kentucky,142,,
Mercer County,Missouri,,,
Mercer County,New Jersey,39918,,
Mercer County,North Dakota,33,,
Mercer County,Ohio,,,
Mercer County,Pennsylvania,745,,
Mercer County,West Virginia,396,,
Meriwether County,Georgia,,,
Merrick County,Nebraska,,,
Merrimack County,New Hampshire,2611,,
Mesa County,Colorado,1067,,
Metcalfe County,Kentucky,,,
Miami County,Indiana,203,,
Miami County,Kansas,,,
Miami County,Ohio,1320,,
Miami-Dade County,Florida,42708,,
Middlesex County,Connecticut,4759,,
Middlesex County,Massachusetts,176767,,
Middlesex County,New Jersey,200918,,
Middlesex County,Virginia,,,
Midland County,Michigan,1862,,
Midland County,Texas,3094,,
Mifflin County,Pennsylvania,262,,
Milam County,Texas,,,
Millard County,Utah,103,,
Mille Lacs County,Minnesota,,,
Miller County,Arkansas,,,
Miller County,Georgia,,,
Miller County,Missouri,119,,
Mills County,Iowa,,,
Mills County,Texas,,,
Milwaukee County,Wisconsin,39074,,
Miner County,South Dakota,,,
Mineral County,Colorado,,,
Mineral County,Montana,,,
Mineral County,Nevada,,,
Mineral County,West Virginia,,,
Mingo County,West Virginia,,,
Minidoka County,Idaho,,,
Minnehaha County,South Dakota,3484,,
Missaukee County,Michigan,,,
Mississippi County,Arkansas,222,,
Mississippi County,Missouri,,,
Missoula County,Montana,1637,,
Mitchell County,Georgia,,,
Mitchell County,Iowa,,,
Mitchell County,Kansas,,,
Mitchell County,North Carolina,,,
Mitchell County,Texas,,,
Mobile County,Alabama,8091,,
Moca Municipio,Puerto Rico,,,
Modoc County,California,,,
Moffat County,Colorado,,,
Mohave County,Arizona,2528,,
Moniteau County,Missouri,,,
Monmouth County,New Jersey,34150,,
Mono County,California,,,
Monona County,Iowa,,,
Monongalia County,West Virginia,3416,,
Monroe County,Alabama,116,,
Monroe County,Arkansas,,,
Monroe County,Florida,907,,
Monroe County,Georgia,208,,
Monroe County,Illinois,231,,
Monroe County,Indiana,9126,,
Monroe County,Iowa,,,
Monroe County,Kentucky,,,
Monroe County,Michigan,937,,
Monroe County,Mississippi,,,
Monroe County,Missouri,,,
Monroe County,New York,27548,,
Monroe County,Ohio,,,
Monroe County,Pennsylvania,3787,,
Monroe County,Tennessee,,,
Monroe County,West Virginia,,,
Monroe County,Wisconsin,360,,
Montague County,Texas,,,
Montcalm County,Michigan,285,,
Monterey County,California,24152,,
Montezuma County,Colorado,,,
Montgomery County,Alabama,5519,,
Montgomery County,Arkansas,,,
Montgomery County,Georgia,,,
Montgomery County,Illinois,,,
Montgomery County,Indiana,295,,
Montgomery County,Iowa,,,
Montgomery County,Kansas,344,,
Montgomery County,Kentucky,,,
Montgomery County,Maryland,153024,,
Montgomery County,Mississippi,,,
Montgomery County,Missouri,,,
Montgomery County,New York,375,,
Montgomery County,North Carolina,416,,
Montgomery County,Ohio,10689,,
Montgomery County,Pennsylvania,59965,,
Montgomery County,Tennessee,3986,,
Montgomery County,Texas,14941,,
Montgomery County,Virginia,6317,,
Montmorency County,Michigan,,,
Montour County,Pennsylvania,559,,
Montrose County,Colorado,,,
Moody County,South Dakota,136,,
Moore County,North Carolina,1111,,
Moore County,Tennessee,,,
Moore County,Texas,1735,,
Mora County,New Mexico,,,
Morehouse Parish,Louisiana,,,
Morgan County,Alabama,779,,
Morgan County,Colorado,,,
Morgan County,Georgia,,,
Morgan County,Illinois,243,,
Morgan County,Indiana,475,,
Morgan County,Kentucky,,,
Morgan County,Missouri,,,
Morgan County,Ohio,,,
Morgan County,Tennessee,,,
Morgan County,Utah,,,
Morgan County,West Virginia,,,
Morovis Municipio,Puerto Rico,,,
Morrill County,Nebraska,,,
Morris County,Kansas,,,
Morris County,New Jersey,50422,,
Morris County,Texas,,,
Morrison County,Minnesota,166,,
Morrow County,Ohio,,,
Morrow County,Oregon,,,
Morton County,Kansas,,,
Morton County,North Dakota,,,
Motley County,Texas,,,
Moultrie County,Illinois,,,
Mountrail County,North Dakota,44,,
Mower County,Minnesota,964,,
Muhlenberg County,Kentucky,,,
Multnomah County,Oregon,55357,,
Murray County,Georgia,,,
Murray County,Minnesota,,,
Murray County,Oklahoma,81,,
Muscatine County,Iowa,477,,
Muscogee County,Georgia,4597,,
Muskegon County,Michigan,872,,
Muskingum County,Ohio,,,
Muskogee County,Oklahoma,492,,
Musselshell County,Montana,,,
Nacogdoches County,Texas,1174,,
Naguabo Municipio,Puerto Rico,,,
Nance County,Nebraska,,,
Nantucket County,Massachusetts,,,
Napa County,California,11085,,
Naranjito Municipio,Puerto Rico,,,
Nash County,North Carolina,907,,
Nassau County,Florida,,,
Nassau County,New York,123008,,
Natchitoches Parish,Louisiana,266,,
Natrona County,Wyoming,649,,
Navajo County,Arizona,661,,
Navarro County,Texas,302,,
Nelson County,Kentucky,,,
Nelson County,North Dakota,,,
Nelson County,Virginia,,,
Nemaha County,Kansas,,,
Nemaha County,Nebraska,50,,
Neosho County,Kansas,,,
Neshoba County,Mississippi,,,
Ness County,Kansas,,,
Nevada County,Arkansas,,,
Nevada County,California,1094,,
New Castle County,Delaware,30410,,
New Hanover County,North Carolina,2842,,
New Haven County,Connecticut,34039,,
New Kent County,Virginia,,,
New London County,Connecticut,11044,,
New Madrid County,Missouri,,,
New York County,New York,198205,,
Newaygo County,Michigan,164,,
Newberry County,South Carolina,,,
Newport County,Rhode Island,1527,,
Newport News city,Virginia,5700,,
Newton County,Arkansas,,,
Newton County,Georgia,1061,,
Newton County,Indiana,,,
Newton County,Mississippi,,,
Newton County,Missouri,762,,
Newton County,Texas,,,
Nez Perce County,Idaho,358,,
Niagara County,New York,2124,,
Nicholas County,Kentucky,,,
Nicholas County,West Virginia,,,
Nicollet County,Minnesota,541,,
Niobrara County,Wyoming,,,
Noble County,Indiana,311,,
Noble County,Ohio,,,
Noble County,Oklahoma,,,
Nobles County,Minnesota,1372,,
Nodaway County,Missouri,380,,
Nolan County,Texas,,,
Nome Census Area,Alaska,,,
Norfolk city,Virginia,8278,,
Norfolk County,Massachusetts,71747,,
Norman County,Minnesota,38,,
North Slope Borough,Alaska,563,,
Northampton County,North Carolina,,,
Northampton County,Pennsylvania,8275,,
Northampton County,Virginia,104,,
Northumberland County,Pennsylvania,318,,
Northumberland County,Virginia,,,
Northwest Arctic Borough,Alaska,68,,
Norton city,Virginia,,,
Norton County,Kansas,,,
Nottoway County,Virginia,,,
Nowata County,Oklahoma,,,
Noxubee County,Mississippi,,,
Nuckolls County,Nebraska,,,
Nueces County,Texas,6943,,
Nye County,Nevada,729,,
O'Brien County,Iowa,124,,
Oakland County,Michigan,84725,,
Obion County,Tennessee,102,,
Ocean County,New Jersey,11546,,
Oceana County,Michigan,62,,
Ochiltree County,Texas,,,
Oconee County,Georgia,1474,,
Oconee County,South Carolina,543,,
Oconto County,Wisconsin,168,,
Ogemaw County,Michigan,123,,
Oglala Lakota County,South Dakota,,,
Ogle County,Illinois,,,
Oglethorpe County,Georgia,,,
Ohio County,Indiana,,,
Ohio County,Kentucky,,,
Ohio County,West Virginia,321,,
Okaloosa County,Florida,5549,,
Okanogan County,Washington,376,,
Okeechobee County,Florida,347,,
Okfuskee County,Oklahoma,,,
Oklahoma County,Oklahoma,25377,,
Okmulgee County,Oklahoma,144,,
Oktibbeha County,Mississippi,1449,,
Oldham County,Kentucky,919,,
Oldham County,Texas,,,
Oliver County,North Dakota,,,
Olmsted County,Minnesota,8763,,
Oneida County,Idaho,,,
Oneida County,New York,9258,,
Oneida County,Wisconsin,,,
Onondaga County,New York,18102,,
Onslow County,North Carolina,3395,,
Ontario County,New York,1427,,
Ontonagon County,Michigan,,,
Orange County,Florida,67013,,
Orange County,Indiana,104,,
Orange County,New York,9598,,
Orange County,North Carolina,10893,,
Orange County,Texas,977,,
Orange County,Vermont,,,
Orange County,Virginia,,,
Orangeburg County,South Carolina,891,,
Oregon County,Missouri,,,
Orleans County,New York,291,,
Orleans County,Vermont,,,
Orleans Parish,Louisiana,11530,,
Orocovis Municipio,Puerto Rico,,,
Osage County,Kansas,,,
Osage County,Missouri,,,
Osage County,Oklahoma,196,,
Osborne County,Kansas,,,
Osceola County,Florida,8242,,
Osceola County,Iowa,,,
Osceola County,Michigan,75,,
Oscoda County,Michigan,,,
Oswego County,New York,833,,
Otero County,Colorado,182,,
Otero County,New Mexico,807,,
Otoe County,Nebraska,,,
Otsego County,Michigan,,,
Otsego County,New York,818,,
Ottawa County,Kansas,,,
Ottawa County,Michigan,7628,,
Ottawa County,Ohio,,,
Ottawa County,Oklahoma,226,,
Otter Tail County,Minnesota,363,,
Ouachita County,Arkansas,,,
Ouachita Parish,Louisiana,1604,,
Ouray County,Colorado,,,
Outagamie County,Wisconsin,6152,,
Overton County,Tennessee,,,
Owen County,Indiana,,,
Owen County,Kentucky,,,
Owsley County,Kentucky,,,
Owyhee County,Idaho,,,
Oxford County,Maine,,,
Ozark County,Missouri,,,
Ozaukee County,Wisconsin,1787,,
Pacific County,Washington,366,,
Page County,Iowa,166,,
Page County,Virginia,135,,
Palm Beach County,Florida,37198,,
Palo Alto County,Iowa,,,
Palo Pinto County,Texas,,,
Pamlico County,North Carolina,,,
Panola County,Mississippi,,,
Panola County,Texas,,,
Park County,Colorado,,,
Park County,Montana,,,
Park County,Wyoming,,,
Parke County,Indiana,,,
Parker County,Texas,615,,
Parmer County,Texas,,,
Pasco County,Florida,12264,,
Pasquotank County,North Carolina,652,,
Passaic County,New Jersey,27080,,
Patillas Municipio,Puerto Rico,,,
Patrick County,Virginia,,,
Paulding County,Georgia,1592,,
Paulding County,Ohio,,,
Pawnee County,Kansas,,,
Pawnee County,Nebraska,,,
Pawnee County,Oklahoma,,,
Payette County,Idaho,,,
Payne County,Oklahoma,3570,,
Peach County,Georgia,302,,
Pearl River County,Mississippi,,,
Pecos County,Texas,,,
Pembina County,North Dakota,,,
Pemiscot County,Missouri,,,
Pend Oreille County,Washington,,,
Pender County,North Carolina,,,
Pendleton County,Kentucky,,,
Pendleton County,West Virginia,,,
Pennington County,Minnesota,,,
Pennington County,South Dakota,1189,,
Penobscot County,Maine,1621,,
Peñuelas Municipio,Puerto Rico,,,
Peoria County,Illinois,7191,,
Pepin County,Wisconsin,,,
Perkins County,Nebraska,,,
Perkins County,South Dakota,,,
Perquimans County,North Carolina,,,
Perry County,Alabama,,,
Perry County,Arkansas,,,
Perry County,Illinois,122,,
Perry County,Indiana,,,
Perry County,Kentucky,,,
Perry County,Mississippi,,,
Perry County,Missouri,134,,
Perry County,Ohio,,,
Perry County,Pennsylvania,,,
Perry County,Tennessee,,,
Pershing County,Nevada,,,
Person County,North Carolina,,,
Petersburg Borough,Alaska,,,
Petersburg city,Virginia,281,,
Petroleum County,Montana,,,
Pettis County,Missouri,,,
Phelps County,Missouri,1636,,
Phelps County,Nebraska,,,
Philadelphia County,Pennsylvania,111341,,
Phillips County,Arkansas,,,
Phillips County,Colorado,,,
Phillips County,Kansas,,,
Phillips County,Montana,,,
Piatt County,Illinois,,,
Pickaway County,Ohio,,,
Pickens County,Alabama,,,
Pickens County,Georgia,,,
Pickens County,South Carolina,2179,,
Pickett County,Tennessee,,,
Pierce County,Georgia,,,
Pierce County,Nebraska,,,
Pierce County,North Dakota,,,
Pierce County,Washington,50315,,
Pierce County,Wisconsin,510,,
Pike County,Alabama,731,,
Pike County,Arkansas,,,
Pike County,Georgia,,,
Pike County,Illinois,,,
Pike County,Indiana,,,
Pike County,Kentucky,322,,
Pike County,Mississippi,,,
Pike County,Missouri,,,
Pike County,Ohio,,,
Pike County,Pennsylvania,,,
Pima County,Arizona,27645,,
Pinal County,Arizona,6550,,
Pine County,Minnesota,,,
Pinellas County,Florida,31219,,
Pipestone County,Minnesota,87,,
Piscataquis County,Maine,,,
Pitkin County,Colorado,,,
Pitt County,North Carolina,3055,,
Pittsburg County,Oklahoma,185,,
Pittsylvania County,Virginia,,,
Piute County,Utah,,,
Placer County,California,25921,,
Plaquemines Parish,Louisiana,779,,
Platte County,Missouri,2705,,
Platte County,Nebraska,,,
Platte County,Wyoming,,,
Pleasants County,West Virginia,,,
Plumas County,California,,,
Plymouth County,Iowa,,,
Plymouth County,Massachusetts,6282,,
Pocahontas County,Iowa,,,
Pocahontas County,West Virginia,,,
Poinsett County,Arkansas,,,
Pointe Coupee Parish,Louisiana,,,
Polk County,Arkansas,,,
Polk County,Florida,10886,,
Polk County,Georgia,,,
Polk County,Iowa,20307,,
Polk County,Minnesota,261,,
Polk County,Missouri,,,
Polk County,Nebraska,,,
Polk County,North Carolina,,,
Polk County,Oregon,1568,,
Polk County,Tennessee,,,
Polk County,Texas,,,
Polk County,Wisconsin,169,,
Ponce Municipio,Puerto Rico,,,
Pondera County,Montana,,,
Pontotoc County,Mississippi,,,
Pontotoc County,Oklahoma,,,
Pope County,Arkansas,644,,
Pope County,Illinois,,,
Pope County,Minnesota,45,,
Poquoson city,Virginia,,,
Portage County,Ohio,2994,,
Portage County,Wisconsin,1860,,
Porter County,Indiana,2330,,
Portsmouth city,Virginia,1168,,
Posey County,Indiana,,,
Pottawatomie County,Kansas,194,,
Pottawatomie County,Oklahoma,514,,
Pottawattamie County,Iowa,562,,
Potter County,Pennsylvania,,,
Potter County,South Dakota,,,
Potter County,Texas,6364,,
Powder River County,Montana,,,
Powell County,Kentucky,,,
Powell County,Montana,,,
Power County,Idaho,,,
Poweshiek County,Iowa,374,,
Powhatan County,Virginia,,,
Prairie County,Arkansas,,,
Prairie County,Montana,,,
Pratt County,Kansas,,,
Preble County,Ohio,,,
Prentiss County,Mississippi,,,
Presidio County,Texas,358,,
Presque Isle County,Michigan,,,
Preston County,West Virginia,,,
Price County,Wisconsin,,,
Prince Edward County,Virginia,,,
Prince George County,Virginia,757,,
Prince George's County,Maryland,38632,,
Prince of Wales-Hyder Census Area,Alaska,74,,
Prince William County,Virginia,36330,,
Providence County,Rhode Island,26200,,
Prowers County,Colorado,,,
Pueblo County,Colorado,1392,,
Pulaski County,Arkansas,8256,,
Pulaski County,Georgia,,,
Pulaski County,Illinois,,,
Pulaski County,Indiana,,,
Pulaski County,Kentucky,464,,
Pulaski County,Missouri,,,
Pulaski County,Virginia,243,,
Pushmataha County,Oklahoma,,,
Putnam County,Florida,443,,
Putnam County,Georgia,,,
Putnam County,Illinois,,,
Putnam County,Indiana,380,,
Putnam County,Missouri,,,
Putnam County,New York,2225,,
Putnam County,Ohio,,,
Putnam County,Tennessee,1006,,
Putnam County,West Virginia,,,
Quay County,New Mexico,,,
Quebradillas Municipio,Puerto Rico,,,
Queen Anne's County,Maryland,,,
Quitman County,Georgia,,,
Quitman County,Mississippi,,,
Rabun County,Georgia,,,
Racine County,Wisconsin,2353,,
Radford city,Virginia,,,
Rains County,Texas,,,
Raleigh County,West Virginia,804,,
Ralls County,Missouri,,,
Ramsey County,Minnesota,75414,,
Ramsey County,North Dakota,,,
Randall County,Texas,1961,,
Randolph County,Alabama,,,
Randolph County,Arkansas,,,
Randolph County,Georgia,,,
Randolph County,Illinois,109,,
Randolph County,Indiana,,,
Randolph County,Missouri,,,
Randolph County,North Carolina,1607,,
Randolph County,West Virginia,150,,
Rankin County,Mississippi,1724,,
Ransom County,North Dakota,,,
Rapides Parish,Louisiana,2042,,
Rappahannock County,Virginia,,,
Ravalli County,Montana,,,
Rawlins County,Kansas,,,
Ray County,Missouri,,,
Reagan County,Texas,,,
Real County,Texas,,,
Red Lake County,Minnesota,,,
Red River County,Texas,,,
Red River Parish,Louisiana,,,
Red Willow County,Nebraska,,,
Redwood County,Minnesota,457,,
Reeves County,Texas,,,
Refugio County,Texas,,,
Reno County,Kansas,346,,
Rensselaer County,New York,4006,,
Renville County,Minnesota,,,
Renville County,North Dakota,,,
Republic County,Kansas,,,
Reynolds County,Missouri,,,
Rhea County,Tennessee,,,
Rice County,Kansas,,,
Rice County,Minnesota,1401,,
Rich County,Utah,,,
Richardson County,Nebraska,,,
Richland County,Illinois,,,
Richland County,Montana,,,
Richland County,North Dakota,,,
Richland County,Ohio,944,,
Richland County,South Carolina,10522,,
Richland County,Wisconsin,90,,
Richland Parish,Louisiana,,,
Richmond city,Virginia,4588,,
Richmond County,Georgia,3448,,
Richmond County,New York,40052,,
Richmond County,North Carolina,,,
Richmond County,Virginia,,,
Riley County,Kansas,3589,,
Rincón Municipio,Puerto Rico,,,
Ringgold County,Iowa,,,
Rio Arriba County,New Mexico,161,,
Rio Blanco County,Colorado,,,
Rio Grande County,Colorado,,,
Río Grande Municipio,Puerto Rico,,,
Ripley County,Indiana,,,
Ripley County,Missouri,,,
Ritchie County,West Virginia,,,
Riverside County,California,147447,,
Roane County,Tennessee,387,,
Roane County,West Virginia,,,
Roanoke city,Virginia,2974,,
Roanoke County,Virginia,2663,,
Roberts County,South Dakota,,,
Roberts County,Texas,,,
Robertson County,Kentucky,,,
Robertson County,Tennessee,353,,
Robertson County,Texas,,,
Robeson County,North Carolina,878,,
Rock County,Minnesota,94,,
Rock County,Nebraska,,,
Rock County,Wisconsin,1899,,
Rock Island County,Illinois,3498,,
Rockbridge County,Virginia,,,
Rockcastle County,Kentucky,,,
Rockdale County,Georgia,1748,,
Rockingham County,New Hampshire,5746,,
Rockingham County,North Carolina,511,,
Rockingham County,Virginia,601,,
Rockland County,New York,19686,,
Rockwall County,Texas,2170,,
Roger Mills County,Oklahoma,,,
Rogers County,Oklahoma,996,,
Rolette County,North Dakota,,,
Rooks County,Kansas,,,
Roosevelt County,Montana,,,
Roosevelt County,New Mexico,,,
Roscommon County,Michigan,,,
Roseau County,Minnesota,415,,
Rosebud County,Montana,,,
Ross County,Ohio,446,,
Routt County,Colorado,260,,
Rowan County,Kentucky,,,
Rowan County,North Carolina,1243,,
Runnels County,Texas,,,
Rush County,Indiana,,,
Rush County,Kansas,,,
Rusk County,Texas,,,
Rusk County,Wisconsin,,,
Russell County,Alabama,,,
Russell County,Kansas,,,
Russell County,Kentucky,83,,
Russell County,Virginia,,,
Rutherford County,North Carolina,306,,
Rutherford County,Tennessee,9229,,
Rutland County,Vermont,632,,
Sabana Grande Municipio,Puerto Rico,,,
Sabine County,Texas,,,
Sabine Parish,Louisiana,106,,
Sac County,Iowa,,,
Sacramento County,California,228471,,
Sagadahoc County,Maine,,,
Saginaw County,Michigan,2357,,
Saguache County,Colorado,,,
Salem city,Virginia,481,,
Salem County,New Jersey,600,,
Salinas Municipio,Puerto Rico,,,
Saline County,Arkansas,1303,,
Saline County,Illinois,176,,
Saline County,Kansas,1325,,
Saline County,Missouri,194,,
Saline County,Nebraska,411,,
Salt Lake County,Utah,43052,,
Saluda County,South Carolina,,,
Sampson County,North Carolina,343,,
San Augustine County,Texas,,,
San Benito County,California,1632,,
San Bernardino County,California,145363,,
San Diego County,California,378581,,
San Francisco County,California,294323,,
San Germán Municipio,Puerto Rico,,,
San Jacinto County,Texas,,,
San Joaquin County,California,108761,,
San Juan County,Colorado,,,
San Juan County,New Mexico,770,,
San Juan County,Utah,,,
San Juan County,Washington,212,,
San Juan Municipio,Puerto Rico,,,
San Lorenzo Municipio,Puerto Rico,,,
San Luis Obispo County,California,10096,,
San Mateo County,California,210075,,
San Miguel County,Colorado,,,
San Miguel County,New Mexico,,,
San Patricio County,Texas,676,,
San Saba County,Texas,,,
San Sebastián Municipio,Puerto Rico,,,
Sanborn County,South Dakota,,,
Sanders County,Montana,60,,
Sandoval County,New Mexico,2018,,
Sandusky County,Ohio,,,
Sangamon County,Illinois,3812,,
Sanilac County,Michigan,162,,
Sanpete County,Utah,,,
Santa Barbara County,California,23662,,
Santa Cruz County,Arizona,395,,
Santa Cruz County,California,12511,,
Santa Fe County,New Mexico,1855,,
Santa Isabel Municipio,Puerto Rico,,,
Santa Rosa County,Florida,3179,,
Sarasota County,Florida,6702,,
Saratoga County,New York,6384,,
Sargent County,North Dakota,,,
Sarpy County,Nebraska,4311,,
Sauk County,Wisconsin,432,,
Saunders County,Nebraska,,,
Sawyer County,Wisconsin,87,,
Schenectady County,New York,7275,,
Schleicher County,Texas,,,
Schley County,Georgia,,,
Schoharie County,New York,274,,
Schoolcraft County,Michigan,,,
Schuyler County,Illinois,,,
Schuyler County,Missouri,,,
Schuyler County,New York,,,
Schuylkill County,Pennsylvania,661,,
Scioto County,Ohio,308,,
Scotland County,Missouri,,,
Scotland County,North Carolina,,,
Scott County,Arkansas,375,,
Scott County,Illinois,,,
Scott County,Indiana,,,
Scott County,Iowa,4362,,
Scott County,Kansas,,,
Scott County,Kentucky,515,,
Scott County,Minnesota,8486,,
Scott County,Mississippi,,,
Scott County,Missouri,,,
Scott County,Tennessee,,,
Scott County,Virginia,,,
Scotts Bluff County,Nebraska,228,,
Screven County,Georgia,,,
Scurry County,Texas,,,
Searcy County,Arkansas,,,
Sebastian County,Arkansas,5486,,
Sedgwick County,Colorado,,,
Sedgwick County,Kansas,22093,,
Seminole County,Florida,19153,,
Seminole County,Georgia,,,
Seminole County,Oklahoma,,,
Seneca County,New York,245,,
Seneca County,Ohio,,,
Sequatchie County,Tennessee,,,
Sequoyah County,Oklahoma,268,,
Sevier County,Arkansas,,,
Sevier County,Tennessee,,,
Sevier County,Utah,,,
Seward County,Kansas,677,,
Seward County,Nebraska,105,,
Shackelford County,Texas,,,
Shannon County,Missouri,,,
Sharkey County,Mississippi,,,
Sharp County,Arkansas,,,
Shasta County,California,5301,,
Shawano County,Wisconsin,,,
Shawnee County,Kansas,2262,,
Sheboygan County,Wisconsin,6171,,
Shelby County,Alabama,3973,,
Shelby County,Illinois,81,,
Shelby County,Indiana,,,
Shelby County,Iowa,,,
Shelby County,Kentucky,345,,
Shelby County,Missouri,,,
Shelby County,Ohio,471,,
Shelby County,Tennessee,23491,,
Shelby County,Texas,,,
Shenandoah County,Virginia,,,
Sherburne County,Minnesota,1044,,
Sheridan County,Kansas,,,
Sheridan County,Montana,,,
Sheridan County,Nebraska,,,
Sheridan County,North Dakota,,,
Sheridan County,Wyoming,,,
Sherman County,Kansas,,,
Sherman County,Nebraska,,,
Sherman County,Oregon,,,
Sherman County,Texas,,,
Shiawassee County,Michigan,,,
Shoshone County,Idaho,,,
Sibley County,Minnesota,97,,
Sierra County,California,,,
Sierra County,New Mexico,,,
Silver Bow County,Montana,,,
Simpson County,Kentucky,,,
Simpson County,Mississippi,,,
Sioux County,Iowa,,,
Sioux County,Nebraska,,,
Sioux County,North Dakota,,,
Siskiyou County,California,682,,
Sitka City and Borough,Alaska,607,,
Skagit County,Washington,2084,,
Skagway Municipality,Alaska,,,
Skamania County,Washington,132,,
Slope County,North Dakota,,,
Smith County,Kansas,,,
Smith County,Mississippi,,,
Smith County,Tennessee,,,
Smith County,Texas,3488,,
Smyth County,Virginia,,,
Snohomish County,Washington,76774,,
Snyder County,Pennsylvania,297,,
Socorro County,New Mexico,,,
Solano County,California,65859,,
Somerset County,Maine,,,
Somerset County,Maryland,249,,
Somerset County,New Jersey,57062,,
Somerset County,Pennsylvania,,,
Somervell County,Texas,,,
Sonoma County,California,19535,,
Southampton County,Virginia,,,
Southeast Fairbanks Census Area,Alaska,132,,
Spalding County,Georgia,602,,
Spartanburg County,South Carolina,6683,,
Spencer County,Indiana,,,
Spencer County,Kentucky,,,
Spink County,South Dakota,,,
Spokane County,Washington,10963,,
Spotsylvania County,Virginia,3408,,
St. Bernard Parish,Louisiana,1104,,
St. Charles County,Missouri,9167,,
St. Charles Parish,Louisiana,567,,
St. Clair County,Alabama,711,,
St. Clair County,Illinois,3674,,
St. Clair County,Michigan,1089,,
St. Clair County,Missouri,,,
St. Croix County,Wisconsin,908,,
St. Francis County,Arkansas,,,
St. Francois County,Missouri,341,,
St. Helena Parish,Louisiana,,,
St. James Parish,Louisiana,,,
St. John the Baptist Parish,Louisiana,391,,
St. Johns County,Florida,5967,,
St. Joseph County,Indiana,5822,,
St. Joseph County,Michigan,,,
St. Landry Parish,Louisiana,,,
St. Lawrence County,New York,1183,,
St. Louis city,Missouri,9788,,
St. Louis County,Minnesota,2147,,
St. Louis County,Missouri,39633,,
St. Lucie County,Florida,5654,,
St. Martin Parish,Louisiana,537,,
St. Mary Parish,Louisiana,730,,
St. Mary's County,Maryland,2979,,
St. Tammany Parish,Louisiana,3875,,
Stafford County,Kansas,,,
Stafford County,Virginia,4327,,
