County,State,Total Population,Total NHPI Alone,Fijian,Guamanian or Chamorro,Marshallese,Native Hawaiian,Other Melanesian,Other Micronesian,Other Pacific Islander not specified (check box only),Other Polynesian,Samoan,Tongan,Two or More NHPI
Palm Beach County,Florida,1426772,,,,,,,,,,,,
Pasco County,Florida,498136,338,,,,,,,,,,,
Pinellas County,Florida,949842,794,,,,,,,,,,,
Polk County,Florida,652256,278,,,,,,,,,,,
Putnam County,Florida,72435,,,,,,,,,,,,
St. Johns County,Florida,226578,193,,,,,,,,,,,
St. Lucie County,Florida,298763,,,,,,,,,,,,
Santa Rosa County,Florida,166778,,,,,,,,,,,,
Sarasota County,Florida,404839,,,,,,,,,,,,
Seminole County,Florida,449260,,,,,,,,,,,,
Sumter County,Florida,116754,,,,,,,,,,,,
Suwannee County,Florida,43814,,,,,,,,,,,,
Taylor County,Florida,22350,,,,,,,,,,,,
Union County,Florida,15300,,,,,,,,,,,,
Volusia County,Florida,518660,,,,,,,,,,,,
Wakulla County,Florida,31586,,,,,,,,,,,,
Walton County,Florida,63457,,,,,,,,,,,,
Washington County,Florida,24472,,,,,,,,,,,,
Appling County,Georgia,18471,,,,,,,,,,,,
Atkinson County,Georgia,8313,,,,,,,,,,,,
Bacon County,Georgia,11279,,,,,,,,,,,,
Baker County,Georgia,3251,,,,,,,,,,,,
Baldwin County,Georgia,45527,,,,,,,,,,,,
Banks County,Georgia,18363,,,,,,,,,,,,
Barrow County,Georgia,75099,,,,,,,,,,,,
Bartow County,Georgia,102623,,,,,,,,,,,,
Ben Hill County,Georgia,17272,,,,,,,,,,,,
Berrien County,Georgia,19014,,,,,,,,,,,,
Bibb County,Georgia,153923,,,,,,,,,,,,
Bleckley County,Georgia,12779,,,,,,,,,,,,
Brantley County,Georgia,18411,,,,,,,,,,,,
Brooks County,Georgia,15629,,,,,,,,,,,,
Bryan County,Georgia,34883,,,,,,,,,,,,
Bulloch County,Georgia,73742,,,,,,,,,,,,
Burke County,Georgia,22645,,,,,,,,,,,,
Butts County,Georgia,23556,,,,,,,,,,,,
Calhoun County,Georgia,6503,,,,,,,,,,,,
Camden County,Georgia,52252,,,,,,,,,,,,
Candler County,Georgia,10894,,,,,,,,,,,,
Carroll County,Georgia,114898,,,,,,,,,,,,
Catoosa County,Georgia,65870,,,,,,,,,,,,
Charlton County,Georgia,12963,,,,,,,,,,,,
Chatham County,Georgia,285506,349,,,,,,,,,,,
Chattahoochee County,Georgia,11096,,,,,,,,,,,,
Chattooga County,Georgia,24880,,,,,,,,,,,,
Cherokee County,Georgia,235896,,,,,,,,,,,,
Clarke County,Georgia,123554,,,,,,,,,,,,
Clay County,Georgia,3024,,,,,,,,,,,,
Clayton County,Georgia,274150,,,,,,,,,,,,
Clinch County,Georgia,6788,,,,,,,,,,,,
Cobb County,Georgia,739072,,,,,,,,,,,,
Coffee County,Georgia,43048,,,,,,,,,,,,
Colquitt County,Georgia,45890,,,,,,,,,,,,
Columbia County,Georgia,143723,,,,,,,,,,,,
Cook County,Georgia,17190,,,,,,,,,,,,
Coweta County,Georgia,138015,,,,,,,,,,,,
Crawford County,Georgia,12385,,,,,,,,,,,,
Crisp County,Georgia,23005,,,,,,,,,,,,
Dade County,Georgia,16282,,,,,,,,,,,,
Dawson County,Georgia,23397,,,,,,,,,,,,
Decatur County,Georgia,27023,,,,,,,,,,,,
DeKalb County,Georgia,736066,,,,,,,,,,,,
Dodge County,Georgia,21063,,,,,,,,,,,,
Dooly County,Georgia,14053,,,,,,,,,,,,
Dougherty County,Georgia,91522,,,,,,,,,,,,
Douglas County,Georgia,140152,,,,,,,,,,,,
Early County,Georgia,10405,,,,,,,,,,,,
Echols County,Georgia,4011,,,,,,,,,,,,
Effingham County,Georgia,57087,,,,,,,,,,,,
Elbert County,Georgia,19288,,,,,,,,,,,,
Emanuel County,Georgia,22502,,,,,,,,,,,,
Evans County,Georgia,10757,,,,,,,,,,,,
Fannin County,Georgia,24480,,,,,,,,,,,,
Fayette County,Georgia,110306,,,,,,,,,,,,
Floyd County,Georgia,96471,,,,,,,,,,,,
Forsyth County,Georgia,211300,,,,,,,,,,,,
Franklin County,Georgia,22328,,,,,,,,,,,,
Fulton County,Georgia,1010420,,,,,,,,,,,,
Gilmer County,Georgia,29614,,,,,,,,,,,,
Glascock County,Georgia,3027,,,,,,,,,,,,
Glynn County,Georgia,83467,,,,,,,,,,,,
Gordon County,Georgia,56424,,,,,,,,,,,,
Grady County,Georgia,25048,,,,,,,,,,,,
Greene County,Georgia,16732,,,,,,,,,,,,
Gwinnett County,Georgia,889954,,,,,,,,,,,,
Habersham County,Georgia,43878,,,,,,,,,,,,
Hall County,Georgia,192865,,,,,,,,,,,,
Hancock County,Georgia,8667,,,,,,,,,,,,
Haralson County,Georgia,28722,,,,,,,,,,,,
Harris County,Georgia,33198,,,,,,,,,,,,
Hart County,Georgia,25535,,,,,,,,,,,,
Heard County,Georgia,11607,,,,,,,,,,,,
Henry County,Georgia,217506,,,,,,,,,,,,
Houston County,Georgia,150341,,,,,,,,,,,,
Irwin County,Georgia,9278,,,,,,,,,,,,
Jackson County,Georgia,63851,,,,,,,,,,,,
Jasper County,Georgia,13732,,,,,,,,,,,,
Jeff Davis County,Georgia,14999,,,,,,,,,,,,
Jefferson County,Georgia,15954,,,,,,,,,,,,
Jenkins County,Georgia,8929,,,,,,,,,,,,
Johnson County,Georgia,9800,,,,,,,,,,,,
Jones County,Georgia,28540,,,,,,,,,,,,
Lamar County,Georgia,18282,,,,,,,,,,,,
Lanier County,Georgia,10388,,,,,,,,,,,,
Laurens County,Georgia,47451,,,,,,,,,,,,
Lee County,Georgia,29216,,,,,,,,,,,,
Liberty County,Georgia,62120,329,,,,,,,,,,,
Lincoln County,Georgia,7768,,,,,,,,,,,,
Long County,Georgia,17857,,,,,,,,,,,,
Lowndes County,Georgia,113941,,,,,,,,,,,,
Lumpkin County,Georgia,31567,,,,,,,,,,,,
McDuffie County,Georgia,21488,,,,,,,,,,,,
McIntosh County,Georgia,14061,,,,,,,,,,,,
Macon County,Georgia,13675,,,,,,,,,,,,
Madison County,Georgia,28600,,,,,,,,,,,,
Marion County,Georgia,8558,,,,,,,,,,,,
Meriwether County,Georgia,21152,,,,,,,,,,,,
Miller County,Georgia,5884,,,,,,,,,,,,
Mitchell County,Georgia,22574,,,,,,,,,,,,
Monroe County,Georgia,26795,,,,,,,,,,,,
Montgomery County,Georgia,8962,,,,,,,,,,,,
Morgan County,Georgia,18013,,,,,,,,,,,,
Murray County,Georgia,39444,,,,,,,,,,,,
Muscogee County,Georgia,198647,,,,,,,,,,,,
Newton County,Georgia,105042,,,,,,,,,,,,
Oconee County,Georgia,35972,,,,,,,,,,,,
Oglethorpe County,Georgia,14654,,,,,,,,,,,,
Paulding County,Georgia,152399,,,,,,,,,,,,
Peach County,Georgia,27027,,,,,,,,,,,,
Pickens County,Georgia,30343,,,,,,,,,,,,
Pierce County,Georgia,19141,,,,,,,,,,,,
Pike County,Georgia,17919,,,,,,,,,,,,
Polk County,Georgia,41444,,,,,,,,,,,,
Pulaski County,Georgia,11396,,,,,,,,,,,,
Putnam County,Georgia,21430,,,,,,,,,,,,
Quitman County,Georgia,2140,,,,,,,,,,,,
Rabun County,Georgia,16354,,,,,,,,,,,,
Randolph County,Georgia,7206,,,,,,,,,,,,
Richmond County,Georgia,201568,442,,,,,,,,,,,
