District,State,Asian Alone Total,Asian Alone LEP,LEP Share Asian Alone,NHPI Alone Total,NHPI Alone LEP,LEP Share NHPI Alone
District 7,Texas,77134,21453,34.43,157,,
District 7,Virginia,36095,11811,41.8,360,,
District 7,Washington,83436,23156,41.53,3231,,
District 7,Wisconsin,10375,3121,38.92,181,,
District 8,Arizona,26057,7379,40.97,1222,,
District 8,California,21323,8307,54.37,2036,,
District 8,Florida,15506,4724,47.88,400,,
District 8,Georgia,9987,3876,47.32,112,,
District 8,Illinois,88519,27176,36.49,549,,
District 8,Indiana,7119,1954,40.93,451,,
District 8,Maryland,67063,20729,40.29,354,,
District 8,Massachusetts,56849,25260,53.22,252,,
District 8,Michigan,30113,10135,43.96,255,,
District 8,Minnesota,4815,,,193,,
District 8,Missouri,4437,1622,47.18,108,,
District 8,New Jersey,64052,16801,32.58,509,,
District 8,New York,39777,16594,54.54,339,,
District 8,North Carolina,16408,5104,41.44,945,,
District 8,Ohio,12584,4517,45.6,463,,
District 8,Pennsylvania,33228,9787,38.45,37,,
District 8,Tennessee,13311,3639,35.24,312,,
District 8,Texas,21796,5379,34.47,543,,
District 8,Virginia,84951,25224,38.15,484,,
District 8,Washington,57146,16377,39.22,4230,,
District 8,Wisconsin,14857,4878,42.33,84,,
District 9,Arizona,36161,9835,36.89,2193,,
District 9,California,102718,37261,49.06,3957,,
District 9,Florida,22510,5957,39.95,457,,
District 9,Georgia,8548,3384,48.75,217,,
District 9,Illinois,86981,29751,43.05,301,,
District 9,Indiana,16178,6758,49.99,96,,
District 9,Massachusetts,9817,3149,44.79,255,,
District 9,Michigan,28574,9794,43.42,262,,
District 9,New Jersey,95102,35110,43.53,261,,
District 9,New York,49844,23693,58.91,167,,
District 9,North Carolina,18309,5212,38.12,275,,
District 9,Ohio,9640,4500,59.26,183,,
District 9,Pennsylvania,4223,,,408,,
District 9,Tennessee,11115,4100,46.23,250,,
District 9,Texas,86300,41975,55.04,469,,
District 9,Virginia,9231,2727,38.63,130,,
District 9,Washington,158448,62589,50.13,8753,,
Resident Commissioner District (at Large),Puerto Rico,7376,5762,80.42,136,,
