County,State,Total Population,Total Asian Alone,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,Chinese except Taiwanese,Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Other Asian not specified,Other Asian specified,Pakistani,Sri Lankan,Taiwanese,Thai,Two or more Asian,Vietnamese
Montgomery County,Arkansas,9059,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada County,Arkansas,8528,,,,,,,,,,,,,,,,,,,,,,,,,
Newton County,Arkansas,7898,,,,,,,,,,,,,,,,,,,,,,,,,
Ouachita County,Arkansas,24378,,,,,,,,,,,,,,,,,,,,,,,,,
Perry County,Arkansas,10320,,,,,,,,,,,,,,,,,,,,,,,,,
Phillips County,Arkansas,19518,,,,,,,,,,,,,,,,,,,,,,,,,
Pike County,Arkansas,10893,,,,,,,,,,,,,,,,,,,,,,,,,
Poinsett County,Arkansas,24098,,,,,,,,,,,,,,,,,,,,,,,,,
Polk County,Arkansas,20212,,,,,,,,,,,,,,,,,,,,,,,,,
Pope County,Arkansas,63372,644,,,,,,,,,,,,,,,,,,,,,,,,
Prairie County,Arkansas,8309,,,,,,,,,,,,,,,,,,,,,,,,,
Pulaski County,Arkansas,392848,8363,25.98,,,,,29.27,,,,,,,,,,,,,,,,,,
Randolph County,Arkansas,17514,,,,,,,,,,,,,,,,,,,,,,,,,
St. Francis County,Arkansas,26688,,,,,,,,,,,,,,,,,,,,,,,,,
Saline County,Arkansas,116252,1303,,,,,,,,,,,,,,,,,,,,,,,,
Scott County,Arkansas,10584,375,,,,,,,,,,,,,,,,,,,,,,,,
Searcy County,Arkansas,7925,,,,,,,,,,,,,,,,,,,,,,,,,
Sebastian County,Arkansas,127362,5487,,,,,,,,,,,,34.97,,,,,,,,,,,,37.96
Sevier County,Arkansas,17206,,,,,,,,,,,,,,,,,,,,,,,,,
Sharp County,Arkansas,17041,,,,,,,,,,,,,,,,,,,,,,,,,
Stone County,Arkansas,12443,,,,,,,,,,,,,,,,,,,,,,,,,
Union County,Arkansas,40022,,,,,,,,,,,,,,,,,,,,,,,,,
Van Buren County,Arkansas,16751,,,,,,,,,,,,,,,,,,,,,,,,,
Washington County,Arkansas,223683,5462,,,,,,,,,,,,,,,,,,,,,,,,
White County,Arkansas,78706,531,,,,,,,,,,,,,,,,,,,,,,,,
Woodruff County,Arkansas,6763,,,,,,,,,,,,,,,,,,,,,,,,,
Yell County,Arkansas,21601,333,,,,,,,,,,,,,,,,,,,,,,,,
Alameda County,California,1629615,471335,23.89,,,,0.8,33.88,19.08,,,2.71,4.16,0.89,,,,,,,1.25,,1.16,0.48,2.63,6.77
Alpine County,California,1203,,,,,,,,,,,,,,,,,,,,,,,,,
