Geography,Total Population,Asian Alone,Asian Alone Share,NHPI Alone,NHPI Alone Share,Asian Alone or Combo,Asian Alone or Combo Share,NHPI Alone or Combo,NHPI Alone or Combo Share
"St. George, UT Metro Area",155577,1078,0.69,1287,0.83,2258,1.45,2230,1.43
"St. Joseph, MO-KS Metro Area",127137,973,0.77,289,0.23,1591,1.25,449,0.35
"St. Louis, MO-IL Metro Area",2804998,68455,2.44,943,0.03,85544,3.05,3038,0.11
"Salem, OR Metro Area",410119,8139,1.98,3054,0.74,12295,3,4635,1.13
"Salinas, CA Metro Area",433168,24867,5.74,2038,0.47,33309,7.69,3962,0.91
"Salisbury, MD-DE Metro Area",394925,6901,1.75,334,0.08,8199,2.08,630,0.16
"Salt Lake City, UT Metro Area",1170057,43544,3.72,17264,1.48,55617,4.75,24378,2.08
"San Angelo, TX Metro Area",118498,1421,1.2,45,0.04,1910,1.61,201,0.17
"San Antonio-New Braunfels, TX Metro Area",2377507,56425,2.37,2595,0.11,75996,3.2,7157,0.3
"San Diego-Carlsbad, CA Metro Area",3283665,384154,11.7,14182,0.43,467696,14.24,32483,0.99
"San Francisco-Oakland-Hayward, CA Metro Area",4641820,1172482,25.26,33709,0.73,1324985,28.54,61157,1.32
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1969897,673160,34.17,7562,0.38,730543,37.09,15684,0.8
"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",280119,10276,3.67,280,0.1,14265,5.09,948,0.34
"Santa Cruz-Watsonville, CA Metro Area",273263,12547,4.59,261,0.1,17515,6.41,1399,0.51
"Santa Fe, NM Metro Area",147514,1855,1.26,142,0.1,2664,1.81,189,0.13
"Santa Maria-Santa Barbara, CA Metro Area",442996,23927,5.4,732,0.17,31248,7.05,2373,0.54
"Santa Rosa, CA Metro Area",500943,19605,3.91,1677,0.33,28698,5.73,4429,0.88
"Savannah, GA Metro Area",377476,8345,2.21,411,0.11,11492,3.04,994,0.26
"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",557942,9277,1.66,103,0.02,11258,2.02,283,0.05
"Seattle-Tacoma-Bellevue, WA Metro Area",3735216,479337,12.83,32653,0.87,589375,15.78,55789,1.49
"Sebastian-Vero Beach, FL Metro Area",147981,1822,1.23,0,0,2646,1.79,20,0.01
"Sebring, FL Metro Area",100177,1552,1.55,13,0.01,1758,1.75,123,0.12
"Sheboygan, WI Metro Area",115094,6176,5.37,7,0.01,6598,5.73,94,0.08
"Sherman-Denison, TX Metro Area",126146,1677,1.33,75,0.06,2064,1.64,185,0.15
"Shreveport-Bossier City, LA Metro Area",443974,5142,1.16,317,0.07,7247,1.63,529,0.12
"Sierra Vista-Douglas, AZ Metro Area",126516,2298,1.82,507,0.4,4181,3.3,1053,0.83
"Sioux City, IA-NE-SD Metro Area",168647,3819,2.26,282,0.17,4648,2.76,421,0.25
"Sioux Falls, SD Metro Area",250564,4089,1.63,90,0.04,5453,2.18,490,0.2
"South Bend-Mishawaka, IN-MI Metro Area",320010,6236,1.95,292,0.09,8201,2.56,728,0.23
"Spartanburg, SC Metro Area",325504,6712,2.06,90,0.03,7851,2.41,306,0.09
"Spokane-Spokane Valley, WA Metro Area",547688,11502,2.1,2437,0.44,18363,3.35,4705,0.86
"Springfield, IL Metro Area",210550,3869,1.84,123,0.06,4885,2.32,172,0.08
"Springfield, MA Metro Area",630385,18935,3,230,0.04,23703,3.76,974,0.15
"Springfield, MO Metro Area",455133,6065,1.33,363,0.08,8693,1.91,950,0.21
"Springfield, OH Metro Area",135520,858,0.63,98,0.07,1368,1.01,224,0.17
"State College, PA Metro Area",160646,9661,6.01,70,0.04,10897,6.78,128,0.08
"Staunton-Waynesboro, VA Metro Area",120283,845,0.7,114,0.09,1309,1.09,191,0.16
