District,State,Total Population,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,Chinese except Taiwanese,Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Other Asian not specified,Other Asian specified,Pakistani,Sri Lankan,Taiwanese,Thai,Vietnamese
District 37,California,721893,10208,,,,,22467,12448,,,13233,17012,,,,,,2513,,,,1656,,3633
District 38,California,720150,10318,,,,3582,22751,39415,,,8050,21839,,,,,,,,,,1625,2528,9387
District 39,California,726854,16057,,,,,89042,41160,,3061,12650,50452,,,,,,1900,,,,7659,2355,13929
District 4,Alabama,683508,,,,,,,,,,,,,,,,,,,,,,,
District 4,Arizona,749187,,,,,,2e3,5355,,,1788,,,,,,,,,,,,,
District 4,Arkansas,714749,,,,,,,,,,,,,,,,,,,,,,,
District 4,California,726653,9345,,,,,8670,14846,,,6042,3684,,,,,,,,,,,,2669
District 4,Colorado,780344,4265,,,,,4328,2926,,,2865,2278,,,,,,,,,,,,1187
District 4,Connecticut,738259,16452,,,,,11465,4933,,,2675,3257,,,,,,,,,,,,
District 4,Florida,763855,10797,,,,,4873,13763,,,1894,2494,,,,,,,,,,,,4290
District 4,Georgia,739094,11428,,,4055,,3033,,,,,,,,,,,,,,,,,9049
District 4,Illinois,703303,3180,,,,,8128,11172,,,1432,1908,,,,,,,,,,,,
District 4,Indiana,745099,5407,,,,,9341,2416,,,,2385,,,,,,,,,,,,
District 4,Iowa,758360,2133,,,,,4596,1640,,,,1830,1873,,,,,,,,,,,2644
District 4,Kansas,722477,2950,,,,,2555,2678,,,1202,1750,2508,,,,,,,,,,,10965
District 4,Kentucky,749054,3027,,,,,,,,,2e3,,,,,,,,,,,,,
District 4,Louisiana,758769,,,,,,,2749,,,,1756,,,,,,,,,,,,
District 4,Maryland,747699,5533,,,,,4218,7868,,,,2979,,,,,,,,,,,,1969
District 4,Massachusetts,751263,13566,,,,,21435,2261,,,3354,5091,,,,,,,,,,,,1756
District 4,Michigan,700749,1989,,,,,2015,1320,,,,1302,,,,,,,,,,,,
District 4,Minnesota,701130,8150,,,11065,,8470,3323,44056,,1939,4484,,,,,,,,,,,,5653
District 4,Mississippi,762965,,,,,,,3641,,,1153,,,,,,,,,,,,,5258
District 4,Missouri,762923,2726,,,,,3463,3375,,,,2311,,,,,,,,,,,,
District 4,Nevada,731299,,,,,,5267,35504,,,5845,4089,,,,,,820,,,,,2054,2191
District 4,New Jersey,741766,11714,,,,,9080,6263,,,,3302,,,,,,,,,,,,
District 4,New York,724387,21890,,,,,11666,6961,,,,2865,,,,,,,,,,,,
District 4,North Carolina,825295,32094,,,,,16600,4252,,,2289,6295,,,,,,,,,,,,5739
District 4,Ohio,711332,1813,,,,,1662,1212,,,1240,,,,,,,,,,,,,
District 4,Oklahoma,780488,2691,,,,,4023,4171,,,2691,4569,,,,,,,,,,,,5510
District 4,Oregon,785159,2349,,,,,8132,4319,,,5099,4088,,,,,,,,,,,,1789
