District,State,Group Population,Less than HS,HS or GED,Some College or AA,BA or higher
District 8,Georgia,7162,,,,287800
District 8,Illinois,67204,654900,675e3,1162600,4227900
District 8,Indiana,4684,,,,249200
District 8,Maryland,52466,501900,546900,804400,3393400
District 8,Massachusetts,43911,781100,777400,585700,2246900
District 8,Michigan,18807,147800,,256300,1368700
District 8,Minnesota,2951,,60300,77900,91900
District 8,Missouri,2749,,,,152500
District 8,New Jersey,52738,328900,462600,538800,3943500
District 8,New York,29039,747300,573100,433e3,1150500
District 8,North Carolina,11736,163500,267200,218100,524800
District 8,Ohio,8241,,,137300,434400
District 8,Pennsylvania,23903,233700,377100,358200,1421300
District 8,Tennessee,9561,,,,615500
District 8,Texas,15596,,,315900,896700
District 8,Virginia,66826,736800,82e4,1015e3,4110800
District 8,Washington,41803,399e3,590500,868e3,2322800
District 8,Wisconsin,8832,185900,199900,176900,320500
District 9,Arizona,25787,224300,272200,459600,1622600
District 9,California,70798,1443700,1382300,2049900,2203900
District 9,Florida,17197,254500,,354500,835700
District 9,Georgia,6116,,12e4,124900,216800
District 9,Illinois,65897,695800,854700,1134100,3905100
District 9,Indiana,9309,,,,542900
District 9,Massachusetts,6571,,,111400,304800
District 9,Michigan,20467,301e3,278900,387900,1078900
District 9,New Jersey,74605,510600,1134700,1010800,4804400
District 9,New York,36902,1037700,676600,473100,1502800
District 9,North Carolina,13218,143700,155300,211300,811500
District 9,Ohio,6813,,137600,,269100
District 9,Pennsylvania,2696,,,,
District 9,Tennessee,8549,,,,437e3
District 9,Texas,66012,1343500,1297200,1156900,2803600
District 9,Virginia,5102,,,,345400
District 9,Washington,122303,1965600,2048100,2370400,5846200
Resident Commissioner District (at Large),Puerto Rico,5522,,,,
